"id","name","gender","school_level","shift","student_drop_count"
1923354,"GBSSS, AYA NAGAR","Boys","Sr.Secondary","General",247
1923357,"Sangam Vihar,J-Block - SBV","Boys","Sarvodaya Secondary","Evening",247
1310042,"Bawana-SKV (Ravi Shankar)","Girls","Sarvodaya Sr.Secondary","General",246
1514110,"Chand Nagar-SBV","Boys","Sarvodaya Sr.Secondary","General",246
1002183,"New Ashok Nagar-SKV","Girls","Sarvodaya Sr.Secondary","Morning",244
1106120,"Saboli- GBSSS","Boys","Sr.Secondary","Evening",244
1720032,"Mahipal Pur- Shaheed Major Ashok Sehrawat SKV","Girls","Sarvodaya Sr.Secondary","Morning",243
1104022,"Khajoori Khas-SKV","Girls","Sarvodaya Sr.Secondary","Morning",242
1310414,"Bawana J. J. Colony No.1 GGSSS","Girls","Sr.Secondary","General",241
1002186,"New Kondli-GGSSS","Girls","Sr.Secondary","Morning",241
1106114,"Shahdara, Mansarover Park, No.2-SKV","Girls","Sarvodaya Sr.Secondary","General",240
1413004,"Rohini, Sector 6-SV","Co-ed","Sarvodaya Sr.Secondary","General",240
1310420,"Siraspur-GBSSS","Boys","Sr.Secondary","Evening",240
1925345,"Jasola Village, GGSSS","Girls","Sr.Secondary","Morning",240
1617019,"Ambika Vihar-GBSSS","Boys","Sr.Secondary","Evening",238
1106005,"Mandoli-GBSSS","Boys","Sr.Secondary","Evening",237
1925033,"New Friends Colony-SKV","Girls","Sarvodaya Sr.Secondary","Morning",237
1104262,"Tukhmirpur-GGSSS","Girls","Sr.Secondary","Morning",235
1207012,"Timar Pur-SBV","Boys","Sarvodaya Sr.Secondary","General",235
1104005,"Gokalpuri-GBSSS","Boys","Sr.Secondary","Evening",233
1412093,"Nithari-SKV","Girls","Sarvodaya Sr.Secondary","Morning",233
1515003,"Subhash Nagar-SBV","Boys","Sarvodaya Sr.Secondary","General",233
1310008,"Pooth Khurd-GBSSS","Boys","Sr.Secondary","Evening",232
1923014,"Fatehpur Beri- SBV","Boys","Sarvodaya Sr.Secondary","General",232
1821234,"Dwarka Sector-I Pkt-7 SBV","Boys","Sarvodaya Sr.Secondary","Evening",232
